kvadratura,brojSoba,starost,udaljenostOdCentra,cena
52,2,5,5.0,96627
33,2,18,7.2,48876
112,5,40,3.0,208932
42,2,3,6.8,72018
28,1,48,1.9,34358
28,1,48,7.2,26104
28,1,8,1.0,52162
38,2,40,1.9,57904
45,2,40,9.9,57052
82,4,8,4.8,158373
70,3,3,7.0,124113
70,3,25,9.4,110869
63,3,48,11.1,86381
38,2,8,1.4,74164
45,2,40,6.2,61918
75,3,3,1.9,148492
58,3,5,9.2,100353
28,1,3,9.3,37695
75,3,18,4.4,133545
96,4,32,1.3,181878
33,2,12,6.0,51836
90,4,12,7.9,161391
82,4,32,3.8,145561
28,1,32,4.6,36623
75,3,3,6.2,137598
90,4,8,5.1,171567
112,5,32,1.4,210103
112,5,5,9.9,206501
104,5,40,3.7,188399
112,5,25,11.5,195746
38,2,3,2.5,72516
63,3,48,2.6,107261
45,2,1,2.2,83301
52,2,5,8.4,84320
70,3,48,8.0,106883
104,5,40,5.0,184944
58,3,25,1.7,106234
33,2,8,5.6,53980
33,2,18,7.4,49657
70,3,3,11.4,118960
